Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Full Name;Rank;Remarks;start_date;start_notification;end_date;end_notification;party;notes;valid
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eryx;jaculus;;Eryx jaculus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;beniensis;;Eunectes beniensis;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;deschauenseei;;Eunectes deschauenseei;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;murinus;;Eunectes murinus;SPECIES;;02/04/2015;CITES Notif. No. 2015/019;;;United States of America;Import of live specimens (including gametes, viable eggs, and hybrids) into the United States of America without an injurious-wildlife permit.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Eunectes;notaeus;;Eunectes notaeus;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
Animalia;Chordata;Reptilia;Serpentes;Boidae;Gongylophis;colubrinus;;Gongylophis colubrinus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports. Trade ban issued under the synonym <i>Eryx colubrinus</i>.;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;atra;;Naja atra;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;kaouthia;;Naja kaouthia;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Elapidae;Naja;siamensis;;Naja siamensis;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Lao People's Democratic Republic;All exports. ;true
Animalia;Chordata;Reptilia;Serpentes;Pythonidae;Python;bivittatus;;Python bivittatus;SPECIES;;26/03/2012;CITES Notif. No. 2012/031;;;United States of America;Import of this species into the United States is prohibited.;true
