idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
10365,Cyprogenia aberti,Cyprogenia aberti,6182,données insuffisantes,Western Fanshell
10365,Cyprogenia aberti,Cyprogenia aberti,6182,données insuffisantes,Western Fanshell Mussel
10369,Leptoseris cailleti,,,,
10386,Truncatoflabellum mortenseni,,,,
10390,Distichopathes filix,,,,
10391,Porites branneri,Porites branneri,132921,espèce quasi menacée,Blue crust coral
10391,Porites branneri,Porites branneri,132921,espèce quasi menacée,Blue Crust Coral
10394,Stichopathes filiformis,,,,
10398,Myriopathes japonica,,,,
10399,Millepora foveolata,,,,
10402,Dendrophyllia incisa,,,,
10404,Phelsuma masohoala,,,,
10410,Errina reticulata,,,,
10413,Melampitta gigantea,,,,
10414,Epioblasma florentina,,,,
10416,Ameerega erythromos,Ameerega erythromos,55220,données insuffisantes,Palenque Poison Frog
10419,Calumma ambreense,,,,
10422,Euphyllia paraglabrescens,Euphyllia paraglabrescens,133228,espèce vulnérable,Stony coral
10427,Polycyathus persicus,,,,
10429,Psammocora brighami,,,,
10431,Cyclura stejnegeri,Cyclura stejnegeri,29605,espèce en danger,Mona Island iguana
10431,Cyclura stejnegeri,Cyclura stejnegeri,29605,espèce en danger,Mona Island Iguana
10431,Cyclura stejnegeri,Cyclura stejnegeri,29605,espèce en danger,Mona Rhinoceros Iguana
10434,Trochocyathus japonicus,,,,
10435,Oxypora egyptensis,,,,
10441,Cladopsammia rolandi,,,,
10446,Hibou d'Abyssinie,Asio abyssinicus,22689512,préoccupation mineure,Abyssinian Owl
10446,Hibou d'Abyssinie,Asio abyssinicus,22689512,préoccupation mineure,African Long-eared Owl
10452,Tropidophis canus,,,,
10456,Achatinella viridans,,,,
10457,Ameerega braccata,,,,
10463,Madrepora carolina,,,,
10465,Acropora downingi,,,,
10469,Nectophrynoides cryptus,,,,
10475,Fungia scabra,,,,
10478,Hexapathes heterosticha,,,,
10483,Tarsius pelengensis,Tarsius pelengensis,21494,espèce en danger,Peleng Island Tarsier
10483,Tarsius pelengensis,Tarsius pelengensis,21494,espèce en danger,Peleng Tarsier
10486,Antipathella aperta,,,,
10488,Distichopora laevigranulosa,,,,
10496,Eulemur cinereiceps,Eulemur cinereiceps,8205,espèce en danger de disparition,Gray-headed Lemur
10496,Eulemur cinereiceps,Eulemur cinereiceps,8205,espèce en danger de disparition,Grey-headed Lemur
10496,Eulemur cinereiceps,Eulemur cinereiceps,8205,espèce en danger de disparition,White-collared brown lemur
10496,Eulemur cinereiceps,Eulemur cinereiceps,8205,espèce en danger de disparition,White-collared Brown Lemur
10496,Eulemur cinereiceps,Eulemur cinereiceps,8205,espèce en danger de disparition,White-collared Lemur
10505,Tropidophis fuscus,,,,
10506,Mico saterei,,,,
10509,Dendrophyllia ijimai,,,,
10511,Deltocyathus eccentricus,,,,
10512,Oculina patagonica,,,,
10515,Antipathes tristis,,,,
10518,Ouistiti nain,,,,
10520,Montipora porites,,,,
10521,Caryophyllia (Caryophyllia) oblonga,,,,
10522,Cordylus melanotus,,,,
10531,Porites okinawensis,,,,
10532,Astreopora macrostoma,Astreopora macrostoma,133306,espèce quasi menacée,Starflower coral
10533,Stylaster lonchitis,,,,
10536,Varanus semiremex,,,,
10542,Cirrhipathes secchini,,,,
10546,Enallopsammia profunda,,,,
10547,Distichopora robusta,,,,
10550,Goniastrea columella,,,,
10554,Trochocyathus vasiformis,,,,
10557,Trochocyathus mediterraneus,,,,
10561,Cirrhipathes contorta,,,,
10565,Montipora cactus,Montipora cactus,133113,espèce vulnérable,Montipora coral
10570,Mico mauesi,,,,
10571,Phelsuma kely,,,,
10572,Stylaster miniatus,,,,
10574,Varanus palawanensis,,,,
10579,Stylaster ibericus,,,,
10589,Lophornis magnificus,Lophornis magnificus,22687190,préoccupation mineure,Frilled Coquette
10593,Colophon whitei,,,,
10596,Colangia jamaicaensis,,,,
10603,Favites acuticollis,,,,
10604,Callicebus modestus,,,,
10605,Thrypticotrochus multilobatus,,,,
10608,Rhizosmilia elata,,,,
10609,Caryophyllia (Caryophyllia) japonica,,,,
10619,Ameerega yoshina,,,,
10626,Spizaetus nanus,,,,
10632,Fungia scruposa,,,,
10633,Outarde somalienne,,,,
10635,Sibopathes gephura,,,,
10642,Javania borealis,,,,
10646,Trioceros ituriensis,,,,
10647,Acropora magnifica,,,,
10651,Deltocyathus halianthus,,,,
10652,Epicrates chrysogaster,,,,
10654,Stichopathes indica,,,,
10656,Echinopora irregularis,,,,
10662,Flabellum tuthilli,,,,
10664,Ranodon sibiricus,Ranodon sibiricus,19304,espèce en danger,Semirechensk salamander
10664,Ranodon sibiricus,Ranodon sibiricus,19304,espèce en danger,Semirechensk Salamander
10665,Leucocephalon yuwonoi,Leucocephalon yuwonoi,40761,espèce en danger de disparition,Sulawesi forest turtle
10665,Leucocephalon yuwonoi,Leucocephalon yuwonoi,40761,espèce en danger de disparition,Sulawesi Forest Turtle
10668,Tarsius pumilus,Tarsius pumilus,21490,données insuffisantes,Lesser spectral tarsier
10668,Tarsius pumilus,Tarsius pumilus,21490,données insuffisantes,Lesser Spectral Tarsier
