idCITES,wdItem,scientificName,IUCNtaxonID,IUCNconservationstatusLabel_en,taxonCommonNames
10250,http://www.wikidata.org/entity/Q2997176,Cordylus aridus,177543,least concern,Dwarf Karoo Girdled Lizard
10251,http://www.wikidata.org/entity/Q3995134,Antipathes plana,,,
10258,http://www.wikidata.org/entity/Q4010497,Myriopathes panamensis,,,
10259,http://www.wikidata.org/entity/Q3953416,Flabellum angustum,,,
10261,http://www.wikidata.org/entity/Q3952250,Flabellum flexuosum,,,
10268,http://www.wikidata.org/entity/Q4009842,Antipathes rubusiformis,,,
10269,http://www.wikidata.org/entity/Q3932414,Eguchipsammia japonica,,,
10272,http://www.wikidata.org/entity/Q3999141,Cupressopathes gracilis,,,
10285,http://www.wikidata.org/entity/Q16480164,Acropora irregularis,132906,data deficient,
10290,http://www.wikidata.org/entity/Q3932425,Dendrophyllia boschmai,,,
10293,http://www.wikidata.org/entity/Q3932689,Acropora ocellata,133000,data deficient,
10298,http://www.wikidata.org/entity/Q1300381,Ninox sumbaensis,22730062,endangered species,Least Boobook ; Little Sumba Hawk-Owl ; Ninoxe mineure
10300,http://www.wikidata.org/entity/Q3952796,Echinophyllia pectinata,133154,data deficient,
10302,http://www.wikidata.org/entity/Q4001199,Bathypathes bifida,,,
10303,http://www.wikidata.org/entity/Q3945004,Goniopora sultani,133643,least concern,
10306,http://www.wikidata.org/entity/Q3940579,Euphyllia yaeyamaensis,132967,near threatened,
10311,http://www.wikidata.org/entity/Q3940678,Fungia puishani,132902,data deficient,
10313,http://www.wikidata.org/entity/Q3952447,Astreopora suggesta,133048,least concern,
10321,http://www.wikidata.org/entity/Q528714,Varanus bushi,83777426,least concern,
10324,http://www.wikidata.org/entity/Q3940574,Tubastraea tagusensis,,,
10331,http://www.wikidata.org/entity/Q3938833,Acropora loisetteae,133394,vulnerable,Staghorn coral
10332,http://www.wikidata.org/entity/Q2466055,Stylaster boreopacificus,,,
10335,http://www.wikidata.org/entity/Q3942362,Acropora kimbeensis,133233,vulnerable,Staghorn coral
10337,http://www.wikidata.org/entity/Q3936519,Acropora lovelli,133327,vulnerable,Staghorn coral
10339,http://www.wikidata.org/entity/Q3955607,Balanophyllia capensis,,,
10343,http://www.wikidata.org/entity/Q3944993,Deltocyathus suluensis,,,
10351,http://www.wikidata.org/entity/Q3955502,Lobophyllia diminuta,133619,vulnerable,Lobophyllia coral
10352,http://www.wikidata.org/entity/Q3942810,Deltocyathus calcar,,,
10358,http://www.wikidata.org/entity/Q3948192,Porites napopora,133358,vulnerable,Stony coral
10362,http://www.wikidata.org/entity/Q2681791,Brachypelma angustum,,,
10365,http://www.wikidata.org/entity/Q308169,Cyprogenia aberti,6182,data deficient,Edible Naiad ; Edible Pearly Mussel ; Western Fan-shell ; Western Fanshell ; Western Fanshell Mussel
10369,http://www.wikidata.org/entity/Q3945087,Leptoseris cailleti,133686,least concern,
10386,http://www.wikidata.org/entity/Q3952852,Truncatoflabellum mortenseni,,,
10390,http://www.wikidata.org/entity/Q4001219,Distichopathes filix,,,
10391,http://www.wikidata.org/entity/Q3940886,Porites branneri,132921,near threatened,Blue crust coral ; Blue Crust Coral
